system,case_id,duration_ms,mean_abs_error,max_abs_error,failed_elements,valid
linux-qemu-tcg,000,98862.917,0.000018632,0.000186920,0,true
linux-qemu-tcg,001,96937.681,0.000012545,0.000118256,0,true
linux-qemu-tcg,002,104302.285,0.000011328,0.000076294,0,true
linux-qemu-tcg,003,106920.295,0.000014970,0.000137329,0,true
linux-qemu-tcg,004,107443.137,0.000015537,0.000127792,0,true
sel4-qemu-tcg,000,203890,0.000018632,0.000186920,0,true
sel4-qemu-tcg,001,225478,0.000012545,0.000118255,0,true
sel4-qemu-tcg,002,203556,0.000011328,0.000076293,0,true
sel4-qemu-tcg,003,197598,0.000014969,0.000137329,0,true
sel4-qemu-tcg,004,210232,0.000015536,0.000127792,0,true
exokernel-qemu-tcg,000,330659,0.000018632,0.000186920,0,true
exokernel-qemu-tcg,001,310057,0.000012545,0.000118255,0,true
exokernel-qemu-tcg,002,370477,0.000011328,0.000076293,0,true
exokernel-qemu-tcg,003,384662,0.000014969,0.000137329,0,true
exokernel-qemu-tcg,004,392284,0.000015536,0.000127792,0,true
