scope,count,mean_abs_error,median_abs_error,p95_abs_error,p99_abs_error,max_abs_error,rmse,max_tolerance_ratio,failed
all,3000,0.000013834,0.000007629,0.000049782,0.000083923,0.000183105,0.000023410,2543.111111111,210
case-000,600,0.000011046,0.000005722,0.000038147,0.000061073,0.000083923,0.000017819,10.010496851,16
case-001,600,0.000016552,0.000007629,0.000061035,0.000091553,0.000137329,0.000026839,2543.111111111,50
case-002,600,0.000018612,0.000007987,0.000061035,0.000106888,0.000183105,0.000029390,196.628865979,102
case-003,600,0.000013756,0.000007629,0.000045776,0.000106812,0.000167847,0.000023972,148.145631068,42
case-004,600,0.000009207,0.000003815,0.000038147,0.000053482,0.000076294,0.000016248,0.433668402,0
joint-0-shoulder_pan,500,0.000002514,0.000001431,0.000009310,0.000017166,0.000022411,0.000004125,10.010496851,8
joint-1-shoulder_lift,500,0.000018986,0.000015259,0.000053406,0.000076370,0.000122070,0.000026476,2543.111111111,15
joint-2-elbow_flex,500,0.000028038,0.000022888,0.000076294,0.000122223,0.000183105,0.000038103,6.471885603,8
joint-3-wrist_flex,500,0.000018772,0.000014305,0.000053406,0.000083923,0.000106812,0.000026187,0.280079972,0
joint-4-wrist_roll,500,0.000002276,0.000000954,0.000009084,0.000024569,0.000027180,0.000004454,12.288659794,23
joint-5-gripper,500,0.000012421,0.000007629,0.000041962,0.000074559,0.000114441,0.000020320,196.628865979,156
