case_id,step,joint,pytorch_reference,rust_actual,signed_error,abs_error,tolerance,pass
000,0,0,2.034014702,-26.537055969,-28.571070671,28.571070671,0.000020350,false
000,0,1,-69.784507751,-71.248962402,-1.464454651,1.464454651,0.000697855,false
000,0,2,68.138076782,65.930801392,-2.207275391,2.207275391,0.000681391,false
000,0,3,11.644514084,18.529058456,6.884544373,6.884544373,0.000116455,false
000,0,4,-2.798796654,-0.074625254,2.724171400,2.724171400,0.000027998,false
000,0,5,61.285499573,29.685440063,-31.600059509,31.600059509,0.000612865,false
000,1,0,1.585897446,-26.860496521,-28.446393967,28.446393967,0.000015869,false
000,1,1,-69.293457031,-67.568649292,1.724807739,1.724807739,0.000692945,false
000,1,2,68.506553650,63.932083130,-4.574470520,4.574470520,0.000685076,false
000,1,3,10.911277771,17.595016479,6.683738708,6.683738708,0.000109123,false
000,1,4,-2.881075382,0.007256508,2.888331890,2.888331890,0.000028821,false
000,1,5,61.381839752,29.395635605,-31.986204147,31.986204147,0.000613828,false
000,2,0,1.377352238,-27.222105026,-28.599457264,28.599457264,0.000013784,false
000,2,1,-68.953720093,-64.830635071,4.123085022,4.123085022,0.000689547,false
000,2,2,69.088363647,62.176551819,-6.911811829,6.911811829,0.000690894,false
000,2,3,10.399467468,17.024860382,6.625392914,6.625392914,0.000104005,false
000,2,4,-2.906660557,0.064395189,2.971055746,2.971055746,0.000029077,false
000,2,5,61.263694763,29.189962387,-32.073732376,32.073732376,0.000612647,false
000,3,0,1.046422005,-27.524682999,-28.571105003,28.571105003,0.000010474,false
000,3,1,-68.469856262,-61.175018311,7.294837952,7.294837952,0.000684709,false
000,3,2,69.156730652,60.480197906,-8.676532745,8.676532745,0.000691577,false
000,3,3,10.363767624,15.438005447,5.074237823,5.074237823,0.000103648,false
000,3,4,-3.032862663,0.086846828,3.119709492,3.119709492,0.000030339,false
000,3,5,61.190536499,28.755315781,-32.435220718,32.435220718,0.000611915,false
000,4,0,1.004180908,-27.799489975,-28.803670883,28.803670883,0.000010052,false
000,4,1,-67.500762939,-57.247425079,10.253337860,10.253337860,0.000675018,false
000,4,2,68.419082642,57.961788177,-10.457294464,10.457294464,0.000684201,false
000,4,3,9.920080185,14.499435425,4.579355240,4.579355240,0.000099211,false
000,4,4,-3.175792217,0.132704735,3.308496952,3.308496952,0.000031768,false
000,4,5,61.517627716,28.651012421,-32.866615295,32.866615295,0.000615186,false
000,5,0,0.854773998,-28.040626526,-28.895400524,28.895400524,0.000008558,false
000,5,1,-67.014732361,-53.271469116,13.743263245,13.743263245,0.000670157,false
000,5,2,68.355102539,55.349758148,-13.005344391,13.005344391,0.000683561,false
000,5,3,9.916070938,13.535116196,3.619045258,3.619045258,0.000099171,false
000,5,4,-3.279232264,0.161600828,3.440833092,3.440833092,0.000032802,false
000,5,5,61.358116150,28.539531708,-32.818584442,32.818584442,0.000613591,false
000,6,0,0.927450180,-28.201911926,-29.129362106,29.129362106,0.000009285,false
000,6,1,-65.691192627,-51.306121826,14.385070801,14.385070801,0.000656922,false
000,6,2,67.523521423,54.434860229,-13.088661194,13.088661194,0.000675245,false
000,6,3,9.613624573,12.186298370,2.572673798,2.572673798,0.000096146,false
000,6,4,-3.481109142,0.121147394,3.602256536,3.602256536,0.000034821,false
000,6,5,61.517982483,28.195783615,-33.322198868,33.322198868,0.000615190,false
000,7,0,1.085516930,-28.331668854,-29.417185783,29.417185783,0.000010865,false
000,7,1,-64.550300598,-47.792346954,16.757953644,16.757953644,0.000645513,false
000,7,2,66.632431030,51.905197144,-14.727233887,14.727233887,0.000666334,false
000,7,3,9.672815323,11.877462387,2.204647064,2.204647064,0.000096738,false
000,7,4,-3.526479721,0.174027443,3.700507164,3.700507164,0.000035275,false
000,7,5,61.379905701,28.259532928,-33.120372772,33.120372772,0.000613809,false
000,8,0,0.910369873,-28.467136383,-29.377506256,29.377506256,0.000009114,false
000,8,1,-61.340461731,-44.953742981,16.386718750,16.386718750,0.000613415,false
000,8,2,64.332786560,50.221225739,-14.111560822,14.111560822,0.000643338,false
000,8,3,9.313503265,11.103918076,1.790414810,1.790414810,0.000093145,false
000,8,4,-3.810076475,0.153428793,3.963505268,3.963505268,0.000038111,false
000,8,5,61.779979706,28.140302658,-33.639677048,33.639677048,0.000617810,false
000,9,0,0.940467834,-28.543964386,-29.484432220,29.484432220,0.000009415,false
000,9,1,-60.909164429,-41.444210052,19.464954376,19.464954376,0.000609102,false
000,9,2,63.932731628,47.853069305,-16.079662323,16.079662323,0.000639337,false
000,9,3,9.543161392,10.631099701,1.087938309,1.087938309,0.000095442,false
000,9,4,-3.830963135,0.169316530,4.000279665,4.000279665,0.000038320,false
000,9,5,61.714874268,28.176609039,-33.538265228,33.538265228,0.000617159,false
000,10,0,1.076568127,-28.744594574,-29.821162701,29.821162701,0.000010776,false
000,10,1,-56.771911621,-38.712959290,18.058952332,18.058952332,0.000567729,false
000,10,2,60.854972839,45.976844788,-14.878128052,14.878128052,0.000608560,false
000,10,3,9.378271103,10.042512894,0.664241791,0.664241791,0.000093793,false
000,10,4,-4.042680264,0.178514481,4.221194744,4.221194744,0.000040437,false
000,10,5,62.059787750,28.140327454,-33.919460297,33.919460297,0.000620608,false
000,11,0,1.286450863,-28.846279144,-30.132730007,30.132730007,0.000012875,false
000,11,1,-52.936592102,-35.979934692,16.956657410,16.956657410,0.000529376,false
000,11,2,57.810058594,43.975105286,-13.834953308,13.834953308,0.000578111,false
000,11,3,9.500942230,9.850559235,0.349617004,0.349617004,0.000095019,false
000,11,4,-4.103319645,0.186345816,4.289665461,4.289665461,0.000041043,false
000,11,5,62.197357178,28.129650116,-34.067707062,34.067707062,0.000621984,false
000,12,0,1.549349308,-28.919702530,-30.469051838,30.469051838,0.000015503,false
000,12,1,-48.849246979,-33.196716309,15.652530670,15.652530670,0.000488502,false
000,12,2,54.408424377,41.893447876,-12.514976501,12.514976501,0.000544094,false
000,12,3,10.045764923,9.727338791,-0.318426132,0.318426132,0.000100468,false
000,12,4,-4.137383461,0.189043283,4.326426744,4.326426744,0.000041384,false
000,12,5,62.374305725,28.187755585,-34.186550140,34.186550140,0.000623753,false
000,13,0,2.264139175,-28.821994781,-31.086133957,31.086133957,0.000022651,false
000,13,1,-40.762615204,-31.547359467,9.215255737,9.215255737,0.000407636,false
000,13,2,47.456119537,41.043323517,-6.412796021,6.412796021,0.000474571,false
000,13,3,10.830692291,9.111862183,-1.718830109,1.718830109,0.000108317,false
000,13,4,-4.057487965,0.166733027,4.224220991,4.224220991,0.000040585,false
000,13,5,62.484817505,28.078136444,-34.406681061,34.406681061,0.000624858,false
000,14,0,2.191784859,-28.924705505,-31.116490364,31.116490364,0.000021928,false
000,14,1,-40.738731384,-28.539230347,12.199501038,12.199501038,0.000407397,false
000,14,2,47.392494202,38.718524933,-8.673969269,8.673969269,0.000473935,false
000,14,3,10.987983704,9.216142654,-1.771841049,1.771841049,0.000109890,false
000,14,4,-4.076278687,0.153982401,4.230261087,4.230261087,0.000040773,false
000,14,5,62.501281738,28.056230545,-34.445051193,34.445051193,0.000625023,false
000,15,0,2.192167759,-28.947294235,-31.139461994,31.139461994,0.000021932,false
000,15,1,-37.350166321,-27.079515457,10.270650864,10.270650864,0.000373512,false
000,15,2,44.190254211,37.433250427,-6.757003784,6.757003784,0.000441913,false
000,15,3,11.557579041,9.313949585,-2.243629456,2.243629456,0.000115586,false
000,15,4,-4.049165249,0.157531023,4.206696272,4.206696272,0.000040502,false
000,15,5,62.488372803,28.062877655,-34.425495148,34.425495148,0.000624894,false
000,16,0,2.668721199,-28.939781189,-31.608502388,31.608502388,0.000026697,false
000,16,1,-31.791784286,-26.897119522,4.894664764,4.894664764,0.000317928,false
000,16,2,38.838836670,37.594715118,-1.244121552,1.244121552,0.000388398,false
000,16,3,12.122190475,8.789085388,-3.333105087,3.333105087,0.000121232,false
000,16,4,-3.950965881,0.131963253,4.082929134,4.082929134,0.000039520,false
000,16,5,62.277885437,28.070489883,-34.207395554,34.207395554,0.000622789,false
000,17,0,2.455206871,-29.000171661,-31.455378532,31.455378532,0.000024562,false
000,17,1,-29.401561737,-24.142187119,5.259374619,5.259374619,0.000294026,false
000,17,2,36.386299133,35.609176636,-0.777122498,0.777122498,0.000363873,false
000,17,3,12.581052780,8.622421265,-3.958631516,3.958631516,0.000125821,false
000,17,4,-3.950584173,0.135888338,4.086472511,4.086472511,0.000039516,false
000,17,5,62.318866730,27.964748383,-34.354118347,34.354118347,0.000623199,false
000,18,0,2.739472389,-28.925441742,-31.664914131,31.664914131,0.000027405,false
000,18,1,-26.809949875,-22.289690018,4.520259857,4.520259857,0.000268109,false
000,18,2,33.947391510,34.180000305,0.232608795,0.232608795,0.000339484,false
000,18,3,13.026242256,8.804721832,-4.221520424,4.221520424,0.000130272,false
000,18,4,-3.979659081,0.119369745,4.099028826,4.099028826,0.000039807,false
000,18,5,62.224731445,27.958179474,-34.266551971,34.266551971,0.000622257,false
000,19,0,2.808322906,-28.882091522,-31.690414429,31.690414429,0.000028093,false
000,19,1,-25.455251694,-20.494541168,4.960710526,4.960710526,0.000254563,false
000,19,2,32.865036011,32.973110199,0.108074188,0.108074188,0.000328660,false
000,19,3,12.927986145,8.509618759,-4.418367386,4.418367386,0.000129290,false
000,19,4,-4.034456730,0.095825911,4.130282640,4.130282640,0.000040355,false
000,19,5,62.268981934,27.956531525,-34.312450409,34.312450409,0.000622700,false
000,20,0,2.872606277,-28.817268372,-31.689874649,31.689874649,0.000028736,false
000,20,1,-23.734645844,-20.051378250,3.683267593,3.683267593,0.000237356,false
000,20,2,30.972431183,32.672958374,1.700527191,1.700527191,0.000309734,false
000,20,3,13.168578148,8.516916275,-4.651661873,4.651661873,0.000131696,false
000,20,4,-3.998320580,0.112102032,4.110422611,4.110422611,0.000039993,false
000,20,5,62.159793854,28.017288208,-34.142505646,34.142505646,0.000621608,false
000,21,0,2.686235905,-28.726345062,-31.412580967,31.412580967,0.000026872,false
000,21,1,-22.200748444,-18.402826309,3.797922134,3.797922134,0.000222017,false
000,21,2,29.703718185,31.105710983,1.401992798,1.401992798,0.000297047,false
000,21,3,13.243093491,8.699850082,-4.543243408,4.543243408,0.000132441,false
000,21,4,-4.118404388,0.137385368,4.255789757,4.255789757,0.000041194,false
000,21,5,62.358409882,27.988365173,-34.370044708,34.370044708,0.000623594,false
000,22,0,2.785408974,-28.777732849,-31.563141823,31.563141823,0.000027864,false
000,22,1,-19.481876373,-17.473932266,2.007944107,2.007944107,0.000194829,false
000,22,2,27.332944870,30.468818665,3.135873795,3.135873795,0.000273339,false
000,22,3,13.390714645,8.474527359,-4.916187286,4.916187286,0.000133917,false
000,22,4,-4.319681644,0.135103464,4.454785109,4.454785109,0.000043207,false
000,22,5,62.498298645,27.943382263,-34.554916382,34.554916382,0.000624993,false
000,23,0,2.621916771,-28.662132263,-31.284049034,31.284049034,0.000026229,false
000,23,1,-17.364391327,-16.495563507,0.868827820,0.868827820,0.000173654,false
000,23,2,25.334783554,29.925476074,4.590692520,4.590692520,0.000253358,false
000,23,3,13.420486450,8.245235443,-5.175251007,5.175251007,0.000134215,false
000,23,4,-4.608393192,0.120598078,4.728991270,4.728991270,0.000046094,false
000,23,5,62.656475067,27.876987457,-34.779487610,34.779487610,0.000626575,false
000,24,0,2.690449715,-28.536945343,-31.227395058,31.227395058,0.000026914,false
000,24,1,-14.944648743,-15.525884628,-0.581235886,0.581235886,0.000149456,false
000,24,2,23.250131607,29.271938324,6.021806717,6.021806717,0.000232511,false
000,24,3,13.407610893,8.043087006,-5.364523888,5.364523888,0.000134086,false
000,24,4,-5.116226673,0.127925634,5.244152308,5.244152308,0.000051172,false
000,24,5,62.674484253,27.915332794,-34.759151459,34.759151459,0.000626755,false
000,25,0,2.442860126,-28.379592896,-30.822453022,30.822453022,0.000024439,false
000,25,1,-13.281375885,-13.989406586,-0.708030701,0.708030701,0.000132824,false
000,25,2,21.671583176,28.306270599,6.634687424,6.634687424,0.000216726,false
000,25,3,13.321763992,7.740615368,-5.581148624,5.581148624,0.000133228,false
000,25,4,-5.763977051,0.142742157,5.906719208,5.906719208,0.000057650,false
000,25,5,62.610492706,27.896789551,-34.713703156,34.713703156,0.000626115,false
000,26,0,2.100401878,-28.301633835,-30.402035713,30.402035713,0.000021014,false
000,26,1,-10.438888550,-13.194000244,-2.755111694,2.755111694,0.000104399,false
000,26,2,19.450489044,27.896324158,8.445835114,8.445835114,0.000194515,false
000,26,3,12.773309708,7.501563549,-5.271746159,5.271746159,0.000127743,false
000,26,4,-7.110551357,0.151432991,7.261984348,7.261984348,0.000071116,false
000,26,5,62.426540375,27.927640915,-34.498899460,34.498899460,0.000624275,false
000,27,0,1.961488724,-28.240978241,-30.202466965,30.202466965,0.000019625,false
000,27,1,-9.522716522,-12.914134979,-3.391418457,3.391418457,0.000095237,false
